"","X","is.HVG"
"MIR1302-2HG","MIR1302-2HG",FALSE
"FAM138A","FAM138A",FALSE
"OR4F5","OR4F5",FALSE
"AL627309.1","AL627309.1",FALSE
"AL627309.3","AL627309.3",FALSE
"AL627309.2","AL627309.2",FALSE
"AL627309.5","AL627309.5",FALSE
"AL627309.4","AL627309.4",FALSE
"AP006222.2","AP006222.2",FALSE
"AL732372.1","AL732372.1",FALSE
"OR4F29","OR4F29",FALSE
"AC114498.1","AC114498.1",FALSE
"OR4F16","OR4F16",FALSE
"AL669831.2","AL669831.2",FALSE
"LINC01409","LINC01409",FALSE
"FAM87B","FAM87B",FALSE
"LINC01128","LINC01128",FALSE
"LINC00115","LINC00115",FALSE
"FAM41C","FAM41C",FALSE
"AL645608.6","AL645608.6",FALSE
"AL645608.2","AL645608.2",FALSE
"AL645608.4","AL645608.4",FALSE
"LINC02593","LINC02593",FALSE
"SAMD11","SAMD11",FALSE
"NOC2L","NOC2L",FALSE
"KLHL17","KLHL17",FALSE
"PLEKHN1","PLEKHN1",FALSE
"PERM1","PERM1",FALSE
"AL645608.7","AL645608.7",FALSE
"HES4","HES4",FALSE
"ISG15","ISG15",FALSE
"AL645608.1","AL645608.1",FALSE
"AGRN","AGRN",FALSE
"AL645608.5","AL645608.5",FALSE
"AL645608.8","AL645608.8",FALSE
"RNF223","RNF223",FALSE
"C1orf159","C1orf159",FALSE
"AL390719.3","AL390719.3",FALSE
"LINC01342","LINC01342",FALSE
"AL390719.2","AL390719.2",FALSE
"TTLL10-AS1","TTLL10-AS1",FALSE
"TTLL10","TTLL10",FALSE
"TNFRSF18","TNFRSF18",FALSE
"TNFRSF4","TNFRSF4",FALSE
"SDF4","SDF4",FALSE
"B3GALT6","B3GALT6",FALSE
"C1QTNF12","C1QTNF12",FALSE
"AL162741.1","AL162741.1",FALSE
"UBE2J2","UBE2J2",FALSE
"LINC01786","LINC01786",FALSE
"SCNN1D","SCNN1D",FALSE
"ACAP3","ACAP3",FALSE
"PUSL1","PUSL1",FALSE
"INTS11","INTS11",FALSE
"AL139287.1","AL139287.1",FALSE
"CPTP","CPTP",FALSE
"TAS1R3","TAS1R3",FALSE
"DVL1","DVL1",FALSE
"MXRA8","MXRA8",TRUE
"AURKAIP1","AURKAIP1",FALSE
"CCNL2","CCNL2",FALSE
"MRPL20-AS1","MRPL20-AS1",FALSE
"MRPL20","MRPL20",FALSE
"AL391244.2","AL391244.2",FALSE
"ANKRD65","ANKRD65",FALSE
"AL391244.1","AL391244.1",FALSE
"TMEM88B","TMEM88B",FALSE
"LINC01770","LINC01770",FALSE
"VWA1","VWA1",FALSE
"ATAD3C","ATAD3C",FALSE
"ATAD3B","ATAD3B",FALSE
"ATAD3A","ATAD3A",FALSE
"TMEM240","TMEM240",FALSE
"SSU72","SSU72",FALSE
"AL645728.1","AL645728.1",FALSE
"FNDC10","FNDC10",FALSE
"AL691432.4","AL691432.4",FALSE
"AL691432.2","AL691432.2",FALSE
"MIB2","MIB2",FALSE
"MMP23B","MMP23B",FALSE
"CDK11B","CDK11B",FALSE
"FO704657.1","FO704657.1",FALSE
"SLC35E2B","SLC35E2B",FALSE
"CDK11A","CDK11A",FALSE
"SLC35E2A","SLC35E2A",FALSE
"NADK","NADK",FALSE
"GNB1","GNB1",FALSE
"AL109917.1","AL109917.1",FALSE
"CALML6","CALML6",FALSE
"TMEM52","TMEM52",FALSE
"CFAP74","CFAP74",FALSE
"AL391845.2","AL391845.2",FALSE
"GABRD","GABRD",FALSE
"AL391845.1","AL391845.1",FALSE
"PRKCZ","PRKCZ",FALSE
"AL590822.2","AL590822.2",FALSE
"PRKCZ-AS1","PRKCZ-AS1",FALSE
"FAAP20","FAAP20",FALSE
